,label
simple_2012_0_1,5
simple_2012_0_2,4
simple_2012_0_3,1
simple_2012_0_4,2
simple_2012_0_5,1
simple_2012_0_6,0
simple_2012_0_7,1
simple_2012_0_8,1
simple_2012_0_9,0
simple_2012_0_10,1
simple_2012_0_11,1
simple_2012_0_12,0
simple_2012_0_13,0
simple_2012_0_14,1
simple_2012_0_15,0
simple_2012_0_16,0
simple_2012_0_17,0
simple_2012_0_18,0
simple_2012_0_19,0
simple_2012_0_20,0
simple_2012_0_21,0
simple_2012_0_22,0
simple_2012_0_23,0
simple_2012_0_24,0
simple_2012_0_25,0
simple_2012_0_26,1
simple_2012_0_27,0
simple_2012_0_28,1
simple_2012_0_29,0
simple_2012_0_30,1
simple_2012_0_31,1
simple_2012_0_32,0
simple_2012_0_33,0
simple_2012_0_34,2
simple_2012_0_35,2
simple_2012_0_36,1
simple_2012_0_37,0
simple_2012_0_38,0
simple_2012_0_39,0
simple_2012_0_40,0
simple_2012_0_41,1
simple_2012_0_42,0
simple_2012_0_43,1
simple_2012_0_44,0
simple_2012_0_45,0
simple_2012_0_46,1
simple_2012_0_47,0
simple_2012_0_48,1
simple_2012_0_49,1
simple_2012_0_50,0
simple_2012_0_51,0
simple_2012_0_52,0
simple_2012_0_53,0
simple_2012_0_54,0
simple_2012_0_55,1
simple_2012_0_56,1
simple_2012_0_57,0
simple_2012_0_58,0
simple_2012_0_59,0
simple_2012_0_60,0
simple_2012_0_61,0
simple_2012_0_62,0
simple_2012_0_63,0
simple_2012_0_64,0
simple_2012_0_65,0
simple_2012_0_66,1
simple_2012_0_67,0
simple_2012_0_68,9
simple_2012_0_69,3
simple_2012_0_70,4
simple_2012_0_71,1
simple_2012_0_72,2
simple_2012_0_73,4
simple_2012_0_74,2
simple_2012_0_75,1
simple_2012_0_76,1
simple_2012_0_77,1
simple_2012_0_78,1
simple_2012_0_79,1
simple_2012_0_80,1
simple_2012_0_81,1
simple_2012_0_82,2
simple_2012_0_83,2
simple_2012_0_84,1
simple_2012_0_85,1
simple_2012_0_86,1
simple_2012_0_87,1
simple_2012_0_88,1
simple_2012_0_89,1
